plant_number,plant_ID,stress
plant1,Salk_052070,100
plant2,Col-0,100
plant3,SalkSeq-50.E01.1,100
plant4,SailSeq201-G03.1,100
plant5,Salk_080561C,100
plant6,SalkSeq-50.E01.1,100
plant7,Salk_056202C,100
plant8,Salk_098896,100
plant9,SailSeq201-G03.1,100
plant10,Col-0,100
plant11,SalkSeq-50.E01.1,100
plant12,Salk_080561C,100
plant13,Salk_002822C,100
plant14,Salk_080561C,100
plant15,Col-0,100
plant16,Salk_052070,100
plant17,Salk_098896,100
plant18,SailSeq201-G03.1,100
plant19,Salk_056202C,100
plant20,Salk_002822C,100
plant21,Salk_002822C,100
plant22,Salk_052070,100
plant23,Salk_102761C,100
plant24,Salk_098896,100